price,ts
63.57,1760313600
63.69,1760313780
63.36,1760313960
63.38,1760314140
63.25,1760314320
63.4,1760314500
63.46,1760314680
63.54,1760314860
63.56,1760315040
63.5,1760315220
63.37,1760315400
63.33,1760315580
63.31,1760315760
63.26,1760315940
63.26,1760316120
63.2,1760316300
63.18,1760316480
63.18,1760316660
63.18,1760316840
63.19,1760317020
63.18,1760317200
63.11,1760317380
63.19,1760317560
63.31,1760317740
63.33,1760317920
63.32,1760318100
63.3,1760318280
63.31,1760318460
63.33,1760318640
63.33,1760318820
63.37,1760319000
63.34,1760319180
63.34,1760319360
63.38,1760319540
63.4,1760319720
63.39,1760319900
63.36,1760320080
63.44,1760320260
63.4,1760320440
63.41,1760320620
63.47,1760320800
63.47,1760320980
63.34,1760321160
63.24,1760321340
63.3,1760321520
63.35,1760321700
63.35,1760321880
63.35,1760322060
63.37,1760322240
63.46,1760322420
63.44,1760322600
63.49,1760322780
63.51,1760322960
63.57,1760323140
63.64,1760323320
63.54,1760323500
63.59,1760323680
63.58,1760323860
63.59,1760324040
63.54,1760324220
63.64,1760324400
63.56,1760324580
63.58,1760324760
63.64,1760324940
63.63,1760325120
63.54,1760325300
63.64,1760325480
63.69,1760325660
63.64,1760325840
63.65,1760326020
63.69,1760326200
63.67,1760326380
63.69,1760326560
63.71,1760326740
63.75,1760326920
63.78,1760327100
63.74,1760327280
63.8,1760327460
63.75,1760327640
63.74,1760327820
63.74,1760328000
63.73,1760328180
63.77,1760328360
63.78,1760328540
63.8,1760328720
63.78,1760328900
63.77,1760329080
63.75,1760329260
63.74,1760329440
63.77,1760329620
63.79,1760329800
63.81,1760329980
63.78,1760330160
63.79,1760330340
63.79,1760330520
63.77,1760330700
63.76,1760330880
63.7,1760331060
63.7,1760331240
63.68,1760331420
63.67,1760331600
63.75,1760331780
63.74,1760331960
63.73,1760332140
63.72,1760332320
63.73,1760332500
63.76,1760332680
63.72,1760332860
63.7,1760333040
63.69,1760333220
63.67,1760333400
63.67,1760333580
63.66,1760333760
63.63,1760333940
63.65,1760334120
63.62,1760334300
63.57,1760334480
63.57,1760334660
63.57,1760334840
63.58,1760335020
63.62,1760335200
63.62,1760335380
63.66,1760335560
63.64,1760335740
63.64,1760335920
63.63,1760336100
63.59,1760336280
63.59,1760336460
63.6,1760336640
63.6,1760336820
63.61,1760337000
63.61,1760337180
63.59,1760337360
63.6,1760337540
63.58,1760337720
63.57,1760337900
63.57,1760338080
63.55,1760338260
63.56,1760338440
63.53,1760338620
63.53,1760338800
63.54,1760338980
63.59,1760339160
63.63,1760339340
63.67,1760339520
63.68,1760339700
63.67,1760339880
63.66,1760340060
63.64,1760340240
63.59,1760340420
63.59,1760340600
63.6,1760340780
63.67,1760340960
63.66,1760341140
63.63,1760341320
63.62,1760341500
63.58,1760341680
63.61,1760341860
63.69,1760342040
63.65,1760342220
63.61,1760342400
63.64,1760342580
63.65,1760342760
63.66,1760342940
63.67,1760343120
63.62,1760343300
63.64,1760343480
63.64,1760343660
63.63,1760343840
63.59,1760344020
63.65,1760344200
63.68,1760344380
63.59,1760344560
63.61,1760344740
